Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2W,AMO MOBILITY SOLUTIONS PVT LTD,0,0,0,0,0,0,0,1497,1574,80
2W,AMPERE VEHICLES PRIVATE LIMITED,0,0,0,0,1196,4522,12470,79857,42903,857
2W,AMPERE VEHICLES PVT LTD,31,0,0,0,6,153,315,2390,8,0
3W,AMPERE VEHICLES PVT LTD,0,0,44,0,0,0,0,0,0,0
3W,AMW MOTORS LIMITED,0,0,1,0,0,0,0,0,0,0
LMV,ANBU TRAILERS,1,3,0,1,0,0,0,0,0,0
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,0,0,0,0,0,0,0,6,51,22
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),0,0,0,0,0,0,0,0,8,3
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),0,0,0,0,0,0,0,0,61,39
2W,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),0,0,0,0,0,0,0,0,1,0
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,0,0,0,0,0,0,0,13,8
3W,ANJALI AUTO COMPONENTS,0,0,0,0,0,23,11,21,61,22
3W,ANJALI ENTERPRISES,0,0,2,3,0,0,0,0,0,0
3W,ANJALI TRADERS,0,0,0,75,118,122,79,75,74,53
LMV,ANJALI TRADERS,0,0,0,1,0,0,0,0,0,0
3W,ANKUSH AUTO DEALS,0,15,72,505,287,51,111,2,5,0
3W,ANOOP CYLINDERS PVT LTD,0,0,0,0,0,0,0,0,0,8
LMV,ANTONY TRAILORS,1,8,2,0,0,0,0,0,0,0
3W,APARNA AGRICO,0,0,25,5,0,0,0,0,0,0
3W,APARNA INDUSTRIES,0,10,93,182,190,83,96,86,87,30
3W,API MOTORS PVT LTD,0,0,5,0,0,0,0,0,0,0
3W,APM AUTO SALES,0,0,0,78,267,119,221,399,778,395
3W,APSARA ENTERPRISE,0,0,0,153,276,191,418,379,725,685
LMV,ARASAN AND CO.,0,1,1,0,0,0,0,0,0,0
LMV,ARBUDA TRAILER,1,0,0,0,0,0,0,0,0,0
3W,ARCHIT ENTERPRISES,0,0,131,153,251,110,203,564,1077,777
3W,ARD EXIM,0,0,0,0,0,14,24,41,61,29
LMV,ARD EXIM,0,0,0,0,0,0,0,1,0,0
3W,ARIHANT ENTERPRISE,0,0,1,0,0,0,0,0,0,0
3W,ARIHANT ENTERPRISES,0,0,0,12,8,0,0,0,0,0
3W,ARMAN GREEN VEHICLES PVT LTD,0,5,195,214,99,41,31,14,0,0
3W,ARNA ELECTRIC AUTO PVT LTD,0,0,29,331,308,185,373,344,590,76
3W,ARROW AUTOMOTIVE,0,0,1,64,393,825,1276,2782,3958,1925
LMV,ARROW AUTOMOTIVE,0,0,0,0,0,0,1,3,0,0
3W,ASAV AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,ASHA IMPEX,0,0,5,21,2,7,35,61,86,126
3W,ASHLESHA POWER CONTROLS PVT LTD,0,0,0,0,0,0,0,0,6,2
3W,ASHMA-MOTORS PVT LTD,0,0,0,0,0,0,0,0,294,828
3W,ASHOK LEYLAND LTD,0,0,1,0,0,0,0,0,0,0
LMV,ASHOK LEYLAND LTD,0,1,0,0,0,0,0,0,0,0
3W,ASHWA ELECTRIC,0,0,2,16,1,4,4,1,0,1
3W,ASIA BODY BUILDERS & MANUFACTURERS,0,0,0,5,0,0,0,0,0,0
3W,ASTER AUTOMOTIVE PVT LTD,0,0,0,7,0,0,0,2,0,0
2W,ATHER ENERGY PVT LTD,0,0,0,24,2291,3052,15930,51808,104735,58547
3W,ATLAS COPCO INDIA LTD,0,0,0,2,0,0,0,0,0,0
2W,ATOMEX E-MOTORS INDIA PVT LTD,0,0,0,0,0,2,17,3,1,0
3W,ATR TECHNOSALES PRIVATE LIMITED,0,0,4,9,5,0,0,0,0,0
3W,ATTOLENT AUTO GROUP PVT LTD,0,397,1023,660,492,176,132,456,760,408
3W,ATTOLENT AUTOGROUP PVT LTD,35,1299,190,31,2,12,0,0,0,0
3W,ATUL AUTO LTD,1,99,219,492,510,438,893,2864,5502,3938
LMV,ATUL AUTO LTD,0,0,14,11,0,0,0,2,5,0
3W,ATUL GREENTECH PRIVATE LIMITED,0,0,0,0,0,0,0,0,127,308
2W,ATUMOBILE PVT LTD,0,0,0,0,0,0,0,0,105,22
3W,ATUT SANGAM,0,1,85,336,139,204,431,943,2335,1593
LMV,AUDI AG,0,0,1,0,0,0,43,115,143,100
3W,AUTOCROLA INDIA LTD,0,0,0,1,0,0,0,0,0,0
3W,AUTOECO GREEN ENERGY PVT LTD,0,0,0,0,0,0,0,21,578,524
3W,AUTOHAUS PRIVATE LIMITED,0,0,0,206,329,124,326,485,103,2
3W,AUTOLITE (INDIA) LIMITED,0,0,49,216,571,328,139,64,11,1
3W,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,54,717,517,957,1480,2632,1951
LMV,AVL ELECTRIC VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,AVON CYCLE LTD INDIA,0,1,17,4,1,3,13,40,10,0
2W,AVON CYCLES LTD,0,0,8,37,1,0,0,0,0,0
3W,AVON CYCLES LTD,0,0,71,191,342,366,470,760,784,429
LMV,AVON CYCLES LTD,0,0,0,0,0,1,0,0,0,0
3W,AXCEED INDUSTRIES (OPC) PVT LTD,0,0,0,0,6,0,0,0,0,0
2W,AYAAN ELECTRONIC PVT LTD,0,0,0,0,0,2,0,132,112,25
3W,B24 ROKET EV,0,0,0,0,0,0,0,0,28,663
3W,BABA E RICKSHAW & C BATTERIES,0,2,31,6,0,0,0,0,0,0
3W,BABA E-VEHICLES,0,2,53,132,145,92,39,288,1363,515
3W,BAFNA AUTO CARS I PVT.LTD.,0,0,1,0,0,0,0,0,0,0
3W,BAGHWAN RIKSHAW UDYOG,0,0,0,0,0,3,7,3,40,25
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),0,0,0,0,0,0,0,0,4,3
2W,BAJAJ AUTO LTD,161,78,43,7,7,1243,4633,25318,71940,73698
3W,BAJAJ AUTO LTD,37,58,86,113,21,19,0,0,4574,16461
LMV,BAJAJ AUTO LTD,0,0,0,0,0,0,0,0,0,1
3W,BAJAJ IMPLEMENTS PVT LTD,0,0,71,20,0,0,0,0,0,0
3W,BAJAJ IMPLEMENTS PVT. LTD,0,0,83,283,211,70,42,195,947,575
3W,BAJAJ TEMPO LIMITED,0,0,0,0,0,0,1,0,0,0
3W,BAL GOPAL WHEELS PVT LTD,0,0,21,87,94,31,86,64,105,99
LMV,BAL GOPAL WHEELS PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,BALAJI TRADING COMPANY,0,0,0,0,0,0,0,0,7,21
LMV,BALAMURUGAN ENGINEERING WORKS,1,0,0,0,0,0,0,0,0,0
3W,BALAN ENGINEERING PVT LTD,0,0,0,0,0,0,13,105,146,112
3W,BALI AUTO INDUSTRIES,0,2,155,295,315,178,237,333,274,159
3W,"BASUDEB ENGINEERING, CUTTACK",0,0,0,0,1,0,0,0,0,0
3W,BATTERY RICKSHAW SANGH,669,1321,30,1,0,0,0,0,0,0
2W,BATTRE ELECTRIC MOBLITY PVT LTD,0,0,0,0,0,0,0,516,4139,1836
3W,BAXY LTD,0,0,0,0,0,0,0,0,271,1481
3W,BENGAL MOTORS,0,0,0,1,0,0,0,0,0,0
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,0,0,0,0,0,567,4758,13130,3005,402
3W,BENTINCK INDUSTRIES PVT. LTD.,0,0,13,160,122,77,91,254,382,137
2W,BENTLEY MOTORS LIMITED,0,1,0,0,0,0,0,0,0,0
3W,BEST WAY AGENCIES PVT LTD,0,57,1501,2044,2312,2155,5022,6447,7902,3545
3W,BESTWAY AGENCIES PVT LTD,1,147,271,11,8,50,179,141,33,0
3W,BESTWAY BANARASH,0,0,2,0,0,15,21,12,12,10
2W,BGAUSS AUTO PRIVATE LIMITED,0,0,0,0,0,0,0,1983,11454,10711
3W,BHADAURIA ENTERPRISES,0,0,0,0,0,0,6,7,106,81
3W,BHARAT MANUFACTURING & ASSEMBLING E RIKSHA,0,0,0,0,0,0,0,0,2,0
3W,BHAVE ELECTRIC VEHICLES PVT LTD,0,0,1,0,2,122,456,1591,2682,1398
3W,BHM INDUSTRIES,0,0,0,0,0,23,456,1028,1814,1377
3W,BIG BULL TRADER PVT LTD,0,0,30,426,565,460,227,307,673,1040
LMV,BIG BULL TRADER PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,BIJNOR ENTERPRISES,0,0,18,24,10,4,4,52,72,24
LMV,BILAL TRAILORS,2,8,1,4,0,0,0,0,0,0
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,0,0,0,0,0,0,8,45,65,4
LMV,BMW INDIA PVT LTD,1,0,0,5,0,0,0,163,1309,591
2W,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,0,0,0,0,0,0,0,484,207,326
2W,BOUNCE ELECTRIC 1 PVT LTD,0,0,0,0,0,0,0,4514,3565,1598
3W,BRIGHT AUTOZONE PVT LTD,0,43,608,713,708,413,1708,3702,3695,1853
3W,BRIGHT METAL WORKS,0,0,0,0,0,9,4,7,31,1
2W,BSA MOTORS,1,0,0,0,0,0,0,0,0,0
3W,BSERAIL ENGINEERING PVT LTD,0,0,0,0,0,0,0,0,0,41
3W,BULL MACHINES PVT LTD,0,0,21,3,0,0,0,0,0,0
LMV,BYD AUTO,0,0,0,0,0,0,0,0,0,2
LMV,BYD INDIA PRIVATE LIMITED,0,0,0,0,0,0,2,453,2012,1401
3W,C M OVERSEAS,0,0,0,10,16,17,21,34,50,16
3W,CAPARO AUTOTECH LIMITED,0,24,321,44,4,0,0,0,0,0
LMV,CAPARO AUTOTECH LIMITED,0,0,1,0,0,0,0,0,0,0
3W,CAPARO AUTOTECH LTD,0,9,62,0,0,0,0,0,0,0
3W,CAPCO INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,30
LMV,CAPCO INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,CARREE YUNUS VEHICLE PVT LTD,0,0,0,0,0,0,0,0,3,22
3W,CART INDIA,0,0,0,17,123,99,26,7,109,357
3W,CASE EQUIPMENT PRIVATE LTD,0,1,1,0,0,0,0,0,0,0
3W,CATERPILLAR INDIA PRIVATE LIMITED,0,0,5,0,0,0,0,0,0,0
3W,CEEON INDIA,0,311,536,928,687,263,213,394,874,394
3W,CELLETRON MOTOR WORKS,0,0,0,0,0,6,9,11,0,93
3W,CENTURY MOTORS PVT LTD,0,2,2,0,0,0,0,0,0,0
3W,CHAMPION POLY PLAST,0,492,1744,3005,4215,2741,6672,13091,14877,6654
LMV,CHAMPION POLY PLAST,0,0,0,0,0,0,2,0,0,0
3W,CHANDAKE-AUTOMOBILES LLP,0,0,0,0,0,0,0,0,0,37
2W,CHANDANA CORPORATION,0,0,0,0,0,0,133,426,501,106
3W,CHANGZHOU YEFEND VEHICLE CO,0,3,8,0,0,0,0,0,0,0
3W,CHARUVIKRAM AUTOMOBILE PVT LTD,0,0,0,0,84,56,22,6,6,0
3W,CHATELEC VEHICLES INDIA LTD,0,0,1,0,0,0,0,0,0,0
LMV,CHATELEC VEHICLES INDIA LTD,0,0,1,1,0,0,0,0,0,0
3W,CHAUHAN AUTO INDUSTRIES,0,0,0,17,121,86,118,406,571,380
3W,CHEHAK BATTERIES,0,46,160,195,80,48,62,223,290,190
2W,CHETAK TECHNOLOGY LIMITED,0,0,0,0,0,0,0,0,4851,4
3W,CHEVROLET SALES INDIA PVT LTD,0,6,0,0,0,0,0,0,0,0
2W,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,0,0,135,154
2W,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),0,0,0,0,0,0,0,0,0,10
3W,CHIRAG ENTERPRISES,0,0,0,19,4,0,0,0,0,0
2W,CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,0,0,0,0,0,0,0,0,0,1
2W,CHONGQING YU AN GROUP,0,3,0,0,0,0,0,0,0,0
3W,CITADEL ENTERPRISES(OPC) PVT LTD,0,0,0,0,24,26,28,36,28,8
3W,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,0,0,132,395,429,292,586,827,930,301
3W,CLAAS INDIA P LTD,0,0,0,1,0,0,0,0,0,0
3W,CLENERGY INNOVATIONS PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,CLH GASEOUS FUEL APPL PVT LTD,4,157,158,37,11,5,0,0,0,0
LMV,CLH GASEOUS FUEL APPL PVT LTD,0,0,0,1,0,0,0,0,0,0
LMV,CNH INDUSTRIAL (INDIA) PVT LTD,0,1,1,0,0,0,0,0,0,0
3W,CONTINENTAL ENGINES PVT LTD,0,0,57,1,1,11,92,571,2749,425
LMV,CONTINENTAL ENGINES PVT LTD,0,0,0,0,0,0,0,2,0,0
3W,CREATIVE ENGINEERINGS,0,0,60,7,21,0,0,0,0,0
3W,CYRUS AUTO INDUSTRIES PVT LTD,0,0,0,0,2,14,7,24,96,37
3W,D S INDUSTRIES,0,0,0,0,11,29,31,46,32,2
3W,D S R AUTOMOTIVES (INDIA) PVT LTD,0,0,3,0,0,0,0,0,0,0
3W,D.K. MOTORS,0,0,0,0,0,0,0,0,0,5
3W,DAEWOO MOTORS INDIA LTD,0,0,2,0,0,0,0,0,0,0
LMV,DAIMLER AG,0,0,0,0,0,2,0,0,0,0
3W,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,0,1,1,0,0,0,0,0,0,0
3W,DAKSH INDUSTRIES,0,0,0,0,0,30,1125,3225,5925,2871
3W,DALIAN FORKLIFT CO.,0,0,0,1,0,0,0,0,0,0
2W,DAO EVTECH PRIVATE LIMITED,0,0,0,0,0,0,0,102,283,72
3W,DASHMESH MECH WORKS PVT LTD,0,1,3,0,0,0,0,0,0,0
3W,DASHMESH TRADERS,0,0,0,75,149,40,55,83,122,73
3W,DAVE EXIM PVT LTD,0,0,567,854,1031,387,285,243,311,120
3W,DD AUTO PVT LTD,0,136,274,397,222,62,8,13,2,0
3W,DE EUSI MOTORS PVT LTD.,0,0,0,0,119,114,345,720,1563,1048
3W,DEEP DRAWN TECHNOLOGIES,0,0,4,46,12,3,3,4,12,14
3W,DEEPTI SMART MOBILITY PVT LTD,0,0,0,0,1,0,0,0,0,0
3W,DELHI AUTOMOBILES LTD,0,0,1,0,0,0,0,0,0,0
3W,DELTA AUTOCORP LLP,0,0,12,330,896,1100,755,1334,2466,1246
3W,DELTEK ENTERPRISES PVT LTD,0,0,0,192,106,5,0,0,8,21
3W,DESMOTO ELECTRICS PVT LTD,0,0,0,0,0,16,30,1,0,0
3W,DEV MOTORS,0,0,0,0,0,0,0,0,0,287
3W,DEVAM ELECTRIC VEH P L,1,7,3,0,0,0,0,0,0,0
3W,DEVAM ELECTRIC VEHICLES PVT LTD,0,0,0,4,0,0,0,0,12,83
3W,DHAR IN PVT LTD,0,0,0,0,0,0,0,0,29,26
3W,DHAR INTERNATIONAL,0,0,0,0,163,140,141,104,34,14
LMV,DHARMAND TRAILERS,1,0,0,0,0,0,0,0,0,0
3W,DHRITI ENTERPRISES,0,0,0,0,0,0,0,0,0,81
3W,DIAMOND E VEHICLES,0,0,0,10,2,0,26,303,604,234
LMV,"DIAMOND ENGG,CTC",0,0,0,1,0,0,0,0,0,0
3W,DILIGENT MOBILITY SERVICE PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,DILIP CHHABRIA DESIGN PVT LTD,0,1,0,0,0,1,0,0,0,0
2W,DILLI ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,2,0,0
3W,DILLI ELECTRIC AUTO PVT LTD,16,1573,2205,3404,3954,2541,5361,13987,25071,11832
LMV,DILLI ELECTRIC AUTO PVT LTD,0,2,1,7,2,0,1,2,5,0
3W,DIVANSHU AUTOMOBILES LIMITED,0,14,129,18,10,3,2,0,0,0
3W,DIVANSU AUTOMOBILES LTD,0,3,50,213,96,27,33,142,145,43
3W,DIVYA AUTOMOBILES,0,0,0,0,45,3,0,0,0,0
3W,DIVYA ENTERPRISES,0,0,3,126,355,169,416,744,1026,403
MMV,DIVYA INDUSTRIES,1,0,0,0,0,0,0,0,0,0
3W,DIWA GREEN TECHNOLOGY PVT LTD,0,0,0,10,6,1,2,0,0,0
2W,DONGMA VEHICLE (IMPORTER: MERCURY METALS),0,0,0,0,0,0,0,0,11,1
3W,DONGMA VEHICLE (IMPORTER: MERCURY METALS),0,0,0,0,0,0,0,0,0,23
3W,DSF INDUSTRIES PVT LTD,0,0,5,22,72,132,17,14,26,1
2W,DSK MOTOWHEELS PVT LTD.,1,2,0,0,0,0,0,0,0,0
3W,DSR EV MOBILITY PVT LTD,0,0,0,0,0,0,0,0,3,27
3W,DUCATI INDIA PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,DUCATI MOTOR HOLDING S.P.A,0,0,4,1,0,0,0,0,0,0
3W,DUKE AUTO INDIA,0,0,0,55,271,259,428,610,934,444
3W,DUKEMOTO MOTORS PVT LTD,0,0,0,0,11,9,0,0,0,0
3W,DURABLE FLANGES PVT LTD,0,0,0,1,7,17,0,0,0,0
2W,DURGA FILTERS PVT LTD,0,0,0,0,0,0,0,0,2,0
3W,DYNAVOLT TECHNOLOGY INDIA LTD,0,0,0,142,48,2,11,11,0,1
3W,DYS IMPEX PRIVATE LIMITED,0,27,777,473,1150,243,121,421,751,495
3W,DYS IMPEX PVT LTD,1,4,130,2,0,1,0,0,0,0
2W,E ROYCE MOTORS INDIA PVT LTD,0,0,0,0,0,0,0,0,5,0
3W,E ROYCE MOTORS INDIA PVT LTD,0,0,0,0,0,0,448,1381,1296,479
3W,EAGLE AUTO PEARL PVT,0,0,0,0,0,1,0,0,0,0
2W,E-ASHWA AUTOMOTIVE (HS 2W) PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,E-ASHWA AUTOMOTIVE PVT LTD,0,0,0,0,3,23,74,129,240,86
3W,EBUZZ MOBILITY LLP,0,0,0,0,0,0,0,1,17,16
3W,ECO DYNAAMIC EQUIPMENTS,0,0,0,0,0,0,19,47,74,55
2W,ECO FUEL SYSTEMS (I) PVT LTD,0,0,0,0,0,20,280,728,595,127
3W,ECO SMART VEHICLES PVT LTD,0,0,0,115,58,14,154,453,1245,816
2W,ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),0,0,0,0,0,0,0,0,0,44
3W,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,0,0,18,61,147,53,9,29,1,165
3W,ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,7,8,8,4,7,0
3W,ECOYAN ELECTRIC MOTORS VEHICLE PVT LTD,0,0,0,0,2,0,0,0,0,0
3W,EDDY CURRENT CONTROLS (I) LTD,0,1,4,0,0,0,0,0,0,0
3W,EDMRC MANNSCHAFT LLP,0,0,0,0,16,29,36,49,89,20
3W,EEVEE ENGINEERING PVT LTD,0,0,0,11,13,5,14,20,1,0
3W,EFEV CHARGING SOLUTION PVT LTD,0,0,0,0,0,0,0,82,526,170
3W,E-GURU AUTO ENERGY,0,0,0,0,0,0,0,12,125,202
3W,EICHER MOTORS LTD,0,0,1,0,0,0,0,0,0,0
LMV,EICHER MOTORS LTD,0,3,0,0,0,0,0,0,0,0
2W,EICHER POLARIS PVT. LTD.,0,0,0,0,1,0,0,0,0,0
LMV,EICHER TRACTORS,4,2,4,0,0,0,0,0,0,0
2W,EKO VEHICLE PRIVATE LIMITED,10,0,8,0,0,0,0,0,0,0
3W,EKO VEHICLE PRIVATE LIMITED,0,1,0,0,0,0,0,0,0,0
3W,ELECTRA INTERNATIONAL,0,0,39,58,23,19,0,0,7,8
2W,ELECTRECA VEHICLES,0,0,0,0,2,9,40,93,72,40
3W,ELECTRECA VEHICLES,0,0,0,4,181,29,9,0,0,0
2W,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0,0,0,0,0,0,0,0,43,2
3W,ELECTROTECH TRANSMISSION PVT LTD,0,0,0,0,0,0,0,0,1,0
2W,ELECTROTHERM (I) LIMITED,178,136,26,4,0,0,0,0,0,0
3W,ELECTROTHERM (I) LIMITED,44,763,919,147,10,0,0,0,0,0
LMV,ELECTROTHERM (I) LIMITED,0,1,11,1,0,0,0,0,0,0
2W,ELECTROTHERM (INDIA) LIMITED,0,0,15,48,2,0,0,0,0,0
3W,ELECTROTHERM (INDIA) LIMITED,1,282,627,1184,270,60,35,5,4,0
LMV,ELECTROTHERM (INDIA) LIMITED,0,0,0,1,0,0,0,0,0,0
3W,ELEPHANTA INDUSTRIES PVT LTD,0,0,0,0,53,33,18,49,11,8
3W,ELGI EQUIPMENTS LTD           ,0,0,2,0,0,0,0,0,0,0
3W,ELITE AUTO ENGINEERS PVT LTD,0,55,50,85,16,75,229,509,1200,934
2W,ELTHOR ENERGY PRIVATE LIMITED,0,0,0,0,0,0,402,735,230,82
2W,EMOBI MANUFACTURY PRIVATE LIMITED,0,0,0,0,0,0,3,0,0,0
3W,E-MOTION AUTOMOTIVE INDUSTRY LLP,0,0,6,61,11,10,108,367,470,259
3W,ENERGY ELECTRIC VEHICLES,0,361,1928,2606,2407,1324,3070,6263,11080,6782
